Дата,Температура,Осадки,Давление,Ветер,Скорость ветра
14.02.2023,"1,7",0,745,С,"7,5"
15.02.2023,"1,4",0,749,СВ,"6,4"
16.02.2023,1,0,750,СЗ,"7,9"
17.02.2023,"1,2","0,1",749,З,"8,3"
18.02.2023,"1,3",2,746,З,"9,8"
19.02.2023,"2,1","0,4",744,ЮЗ,"8,3"
20.02.2023,"0,6",0,742,Ю,6
21.02.2023,"-1,7",0,740,ЮЗ,"3,1"
22.02.2023,"0,5","0,5",742,СЗ,"4,1"
23.02.2023,"2,3",1,741,ЮЗ,"2,1"
24.02.2023,2,"2,3",742,ЮЗ,"2,8"
25.02.2023,"1,8",0,743,ЮЗ,"3,6"
26.02.2023,"1,6","13,3",747,Ю,5
27.02.2023,"1,1",0,748,Ю,"3,2"
28.02.2023,"-0,8",0,746,Ю,"4,6"
01.03.2023,"1,7","4,6",742,ЮЗ,"6,5"
02.03.2023,"4,5","0,8",743,Ю,"3,5"
03.03.2023,"3,8",0,746,ЮЗ,2
04.03.2023,"2,6",0,750,Ю,"0,9"
05.03.2023,"4,7","1,6",749,ЮЗ,3
06.03.2023,"3,2",0,747,Ю,"2,5"
07.03.2023,2,0,751,ЮЗ,"2,2"
08.03.2023,"0,9",0,753,СЗ,"0,1"
09.03.2023,"2,5",0,753,С,"0,1"
10.03.2023,"3,1",0,750,З,3
11.03.2023,"0,2",0,752,С,"0,9"
12.03.2023,"-6,8",0,754,СЗ,"0,1"
13.03.2023,"-8,2",0,758,СВ,"2,9"
14.03.2023,"-4,6",0,756,В,"0,6"
15.03.2023,"-2,7",0,757,ЮВ,"2,1"
16.03.2023,-4,0,759,В,"0,1"
17.03.2023,"-2,1",0,759,В,"2,4"
18.03.2023,"-1,2","0,3",762,СВ,"1,1"
19.03.2023,"0,4","1,1",760,В,"0,8"
20.03.2023,1,0,756,Ю,"1,1"
21.03.2023,"2,8","0,7",760,З,"0,8"
22.03.2023,"1,8","0,4",761,ЮЗ,"1,3"
23.03.2023,"0,2","0,4",764,Ю,4
24.03.2023,"2,4",0,766,В,"3,4"
25.03.2023,"3,8",0,762,В,"0,6"
26.03.2023,3,"2,4",762,Ю,"0,3"
27.03.2023,"0,8","0,8",766,ЮВ,"0,1"
28.03.2023,"1,3","1,2",764,СВ,"2,6"
29.03.2023,"-0,1",0,767,СВ,"5,1"
30.03.2023,0,0,762,С,"3,2"
31.03.2023,"1,2",0,762,СВ,"3,1"
01.04.2023,0,"6,7",759,СВ,3
02.04.2023,"0,6","4,5",756,СВ,"0,9"
03.04.2023,"1,8","2,6",756,СВ,"2,9"
04.04.2023,"0,6","5,1",761,СВ,"5,1"
05.04.2023,2,5,763,В,"6,8"
06.04.2023,"1,6",0,765,В,"4,7"
07.04.2023,"1,8",0,767,В,"4,5"
08.04.2023,"2,2","2,2",772,Ю,"6,9"
09.04.2023,"3,2",9,776,Ю,"4,8"
10.04.2023,"3,2","0,6",775,ЮВ,2
11.04.2023,"10,6","3,5",774,В,"0,1"
12.04.2023,"9,6","0,1",770,В,"0,1"
13.04.2023,"6,5",0,767,В,"2,6"
14.04.2023,"4,4",0,770,СВ,1
15.04.2023,"6,2",0,774,СВ,"0,8"
16.04.2023,"8,8",0,773,СВ,"1,3"
17.04.2023,"11,6",0,772,СВ,"0,2"
18.04.2023,"14,3",0,775,С,"2,2"
19.04.2023,"17,5",0,777,С,"4,4"
20.04.2023,"17,9",0,775,СВ,5
21.04.2023,"16,1",0,772,В,"2,3"
22.04.2023,"17,4",0,772,ЮВ,"2,6"
23.04.2023,17,0,770,В,"2,6"
24.04.2023,"17,2",0,773,Ю,"5,4"
25.04.2023,"18,3",0,776,Ю,"3,1"
26.04.2023,"17,2","0,7",778,Ю,"3,3"
27.04.2023,"12,5",1,780,З,"1,7"
28.04.2023,"14,8","1,8",780,ЮЗ,"1,3"
29.04.2023,"12,3","0,4",780,З,"0,9"
30.04.2023,"6,3",0,780,СЗ,"0,1"
01.05.2023,"3,7",0,775,З,"1,1"
02.05.2023,"1,1",0,772,Ю,"1,8"
03.05.2023,"3,6",0,772,ЮЗ,1
04.05.2023,"9,1",0,775,ЮВ,"2,1"
05.05.2023,"10,5","1,5",773,ЮЗ,"1,5"
06.05.2023,"8,4",0,775,З,"3,8"
07.05.2023,"9,5",0,779,СЗ,"0,8"
08.05.2023,"12,2",0,778,З,"0,5"
09.05.2023,"12,4","0,3",778,СЗ,"2,7"
10.05.2023,"9,9","12,9",780,ЮЗ,"4,2"
11.05.2023,"3,3","5,2",776,З,"1,8"
12.05.2023,"6,5",0,777,С,"3,6"
13.05.2023,"10,8",0,774,З,"6,1"
14.05.2023,"17,8","0,3",777,Ю,"5,1"
15.05.2023,"20,4","0,3",777,ЮЗ,"7,6"
16.05.2023,"10,9","3,8",772,ЮВ,"8,4"
17.05.2023,10,0,774,СВ,"9,7"
18.05.2023,"13,2",0,770,ЮВ,"6,9"
19.05.2023,"15,5",0,771,ЮВ,"7,2"
20.05.2023,"17,8","0,3",768,ЮВ,"8,9"
21.05.2023,"19,6",0,772,В,"6,5"
22.05.2023,"20,9",0,771,ЮВ,4
23.05.2023,"18,1","0,4",773,В,"3,6"
24.05.2023,"19,1",0,774,ЮВ,"6,5"
25.05.2023,"23,5",0,778,ЮЗ,"7,8"
26.05.2023,"23,2",0,780,Ю,"8,9"
27.05.2023,"22,7","0,1",777,ЮЗ,"6,5"
28.05.2023,24,0,773,Ю,"4,8"
29.05.2023,"24,2",0,776,В,"6,4"
30.05.2023,"23,2",0,775,ЮВ,"8,2"
31.05.2023,"23,5",0,773,Ю,"9,1"
01.06.2023,"22,2","1,2",770,ЮВ,"8,4"
02.06.2023,"23,1",0,774,СВ,"8,4"
03.06.2023,"23,3",0,778,СЗ,"8,3"
04.06.2023,"21,7",0,780,З,"9,4"
05.06.2023,"19,1",0,780,З,"7,9"
06.06.2023,"13,5",0,776,С,"7,1"
07.06.2023,"16,4",0,772,СВ,"5,6"
08.06.2023,19,0,769,В,"4,6"
09.06.2023,"22,2",0,773,ЮВ,"1,9"
10.06.2023,22,0,773,ЮЗ,"3,9"
11.06.2023,"22,7",0,771,ЮЗ,"5,5"
12.06.2023,"21,3","34,1",768,Ю,"7,9"
13.06.2023,"21,6",0,765,З,"6,6"
14.06.2023,"24,1","0,3",761,Ю,"7,3"
15.06.2023,"22,9",0,759,ЮЗ,"5,5"
16.06.2023,"23,5",0,758,ЮЗ,"7,6"
17.06.2023,"23,8",0,758,ЮЗ,7
18.06.2023,"21,9",0,755,ЮЗ,"7,7"
19.06.2023,"19,1","5,7",752,З,"8,9"
20.06.2023,"17,8",0,751,ЮЗ,"8,1"
21.06.2023,"13,6","19,8",750,ЮЗ,"7,7"
22.06.2023,"14,5","4,8",751,З,"6,9"
23.06.2023,"14,1","5,1",754,ЮЗ,"8,4"
24.06.2023,"15,9","0,4",753,Ю,"9,3"
25.06.2023,"17,7",0,756,ЮЗ,"8,9"
26.06.2023,"19,5",0,753,Ю,"9,2"
27.06.2023,"20,5","0,7",756,ЮЗ,"8,8"
28.06.2023,"17,7",0,759,ЮЗ,"9,1"
29.06.2023,"17,8",0,760,З,"8,5"
30.06.2023,18,0,759,СЗ,"7,3"
01.07.2023,"16,9",0,758,С,8
02.07.2023,"16,1",6,756,З,"6,8"
03.07.2023,"14,6",0,751,З,"5,4"
04.07.2023,"18,3",0,753,Ю,"5,2"
05.07.2023,"21,3","0,1",756,ЮВ,"4,8"
06.07.2023,"17,7","1,7",758,Ю,"5,5"
07.07.2023,"16,2","1,7",755,ЮВ,"8,3"
08.07.2023,"18,9",0,756,ЮЗ,"7,8"
09.07.2023,"21,6",0,760,Ю,"8,2"
10.07.2023,"18,5",0,763,Ю,"6,1"
11.07.2023,"15,2",0,761,В,"6,4"
12.07.2023,"16,1","0,6",758,В,"4,3"
13.07.2023,"16,6",0,761,В,"5,5"
14.07.2023,"20,1","0,4",764,В,"5,1"
15.07.2023,"15,2","2,4",765,В,"3,4"
16.07.2023,"12,7",0,761,С,"3,9"
17.07.2023,"14,6",0,758,СВ,"1,8"
18.07.2023,"17,6",0,754,С,"1,9"
19.07.2023,"19,3",0,757,З,"1,8"
20.07.2023,"16,9","17,2",758,С,"0,8"
21.07.2023,"17,9",0,760,З,"0,1"
22.07.2023,"19,9",0,765,ЮЗ,"0,1"
23.07.2023,"22,2",0,768,Ю,"2,2"
24.07.2023,"18,4","3,3",769,З,"4,2"
25.07.2023,"16,4","10,3",770,ЮЗ,"4,7"
26.07.2023,"18,9","0,1",765,ЮВ,"7,5"
27.07.2023,"17,7",0,766,ЮВ,"5,3"
28.07.2023,"14,9","8,2",765,СВ,"6,6"
29.07.2023,"16,7",0,763,В,"5,9"
30.07.2023,"18,6",0,761,ЮВ,"5,9"
31.07.2023,18,"2,2",760,В,"4,7"
01.08.2023,"17,9",0,762,В,"5,9"
02.08.2023,"18,7",0,762,ЮВ,"8,1"
03.08.2023,"19,1",0,760,Ю,9
04.08.2023,"21,6",0,761,З,9
05.08.2023,"18,6","17,8",758,З,"6,1"
06.08.2023,"16,1","0,9",761,СЗ,"3,4"
07.08.2023,"15,9",0,760,С,"5,3"
08.08.2023,17,"8,2",758,В,"7,5"
09.08.2023,14,"1,9",760,ЮВ,"6,9"
10.08.2023,"13,3",0,765,Ю,"6,7"
11.08.2023,"12,9","7,1",765,Ю,"4,3"
12.08.2023,"12,1",0,766,З,"6,9"
13.08.2023,"10,7","3,7",768,З,"4,5"
14.08.2023,"10,7","0,5",769,СЗ,"3,2"
15.08.2023,"14,3","0,4",769,З,"4,4"
16.08.2023,"15,3",0,767,Ю,2
17.08.2023,"16,2",0,768,ЮЗ,4
18.08.2023,"18,6",0,767,Ю,"3,4"
19.08.2023,"20,7",0,770,ЮЗ,"1,8"
20.08.2023,"18,4","1,2",773,З,"1,7"
21.08.2023,"14,1",0,769,ЮЗ,"0,5"
22.08.2023,"13,1",0,768,ЮВ,"1,5"
23.08.2023,"17,2",0,771,СВ,"3,8"
24.08.2023,20,0,766,СВ,5
25.08.2023,"20,7",0,764,С,"7,2"
26.08.2023,"21,5",0,766,СЗ,"7,7"
27.08.2023,"19,4",0,764,С,"8,5"
28.08.2023,"18,3","24,3",769,СВ,8
29.08.2023,"17,1",0,770,С,"9,1"
30.08.2023,"17,4",0,773,В,"9,9"
31.08.2023,"19,7","0,1",769,В,"9,2"
01.09.2023,"19,3","0,1",765,ЮВ,"8,2"
02.09.2023,22,0,762,В,"9,5"
03.09.2023,"23,4",0,762,С,"7,9"
04.09.2023,"21,2","0,5",759,СЗ,"7,5"
05.09.2023,"19,5",2,764,СЗ,"7,9"
06.09.2023,"17,4","0,6",760,СВ,"8,8"
07.09.2023,"15,8","12,9",759,ЮВ,"7,9"
08.09.2023,"17,8","9,6",762,В,"9,5"
09.09.2023,"16,9","0,5",759,ЮВ,"9,3"
10.09.2023,"16,6",0,757,В,"8,5"
11.09.2023,"17,3",0,761,Ю,"8,2"
12.09.2023,"15,6","4,9",757,ЮЗ,"8,5"
13.09.2023,"12,7",0,756,ЮЗ,"5,5"
14.09.2023,"10,2",0,751,З,"5,2"
15.09.2023,"8,3",0,747,ЮЗ,4
16.09.2023,"7,4",0,747,Ю,"6,2"
17.09.2023,"5,2",0,750,ЮВ,"5,3"
18.09.2023,"6,3",0,749,СВ,"2,9"
19.09.2023,"6,8",0,749,В,"3,3"
20.09.2023,"8,1",0,754,В,"3,8"
21.09.2023,"6,6",0,749,В,"4,4"
22.09.2023,"6,8","6,8",745,ЮВ,"6,2"
23.09.2023,"8,1",0,741,Ю,"5,1"
24.09.2023,"6,7",0,744,ЮЗ,"2,5"
25.09.2023,"9,2",0,742,ЮЗ,"2,2"
26.09.2023,"10,8",0,740,Ю,"4,5"
27.09.2023,"12,2",0,740,ЮЗ,"1,5"
28.09.2023,"12,8","0,6",744,Ю,"3,1"
29.09.2023,"10,9","3,1",744,Ю,3
30.09.2023,"12,8","5,9",745,Ю,"4,7"
01.10.2023,"9,9","0,1",745,Ю,2
02.10.2023,"9,3",0,749,Ю,"2,1"
03.10.2023,"5,5",0,747,ЮЗ,"3,2"
04.10.2023,"7,1",0,747,ЮВ,"5,9"
05.10.2023,"9,3",0,750,В,"4,9"
06.10.2023,7,0,747,СВ,"4,2"
07.10.2023,"8,3",0,751,С,"2,3"
08.10.2023,10,"0,5",747,С,"5,2"
09.10.2023,11,"2,1",751,СЗ,"7,9"
10.10.2023,"10,9","0,4",747,СВ,"6,2"
11.10.2023,"11,4",0,751,В,"5,4"
12.10.2023,"9,9",0,754,С,"4,6"
13.10.2023,"8,2",0,759,С,"7,3"
14.10.2023,"8,9",0,763,СЗ,"5,1"
15.10.2023,"2,5","0,8",760,С,"2,7"
16.10.2023,"-0,2",0,762,З,"0,9"
17.10.2023,"5,3",0,757,З,"0,1"
18.10.2023,"9,4",0,761,З,"1,7"
19.10.2023,"10,6","3,5",760,З,"1,7"
20.10.2023,"7,9","8,6",759,Ю,"3,3"
21.10.2023,"4,5",1,762,ЮЗ,"1,9"
22.10.2023,"0,6","0,6",760,З,"2,1"
23.10.2023,"-0,1",0,763,Ю,"1,3"
24.10.2023,"4,8",0,759,Ю,"0,8"
25.10.2023,"5,4",0,757,В,"0,1"
26.10.2023,"6,8",0,756,В,"1,2"
27.10.2023,"4,7",0,756,ЮВ,"0,6"
28.10.2023,"6,5",0,760,СВ,"0,1"
29.10.2023,"6,3","0,1",759,В,"1,3"
30.10.2023,"2,6",0,760,Ю,"4,1"
31.10.2023,"2,9",1,758,ЮЗ,"1,7"
01.11.2023,"-3,4","0,4",753,ЮЗ,"0,1"
02.11.2023,"-3,6","8,5",750,Ю,"0,1"
03.11.2023,"1,9","12,2",746,ЮЗ,"0,1"
04.11.2023,-2,"1,5",747,З,"1,6"
05.11.2023,"-3,9","1,3",748,СЗ,"0,7"
06.11.2023,"-3,4","0,3",746,С,"0,4"
07.11.2023,"-2,3","0,4",749,СЗ,"3,2"
08.11.2023,"-1,7","6,5",746,С,4
09.11.2023,"-2,9","15,5",742,СЗ,"4,5"
10.11.2023,"-3,7","3,3",740,З,"3,2"
11.11.2023,"-8,5",0,740,З,"1,5"
12.11.2023,"-6,7","0,7",741,З,"0,1"
13.11.2023,"-6,8",3,740,З,"1,6"
14.11.2023,"0,3","1,8",743,СЗ,"3,7"
15.11.2023,"0,2",0,741,З,"2,7"
16.11.2023,"1,6",0,740,СЗ,"3,9"
17.11.2023,"2,1","5,8",741,СЗ,4
18.11.2023,"3,7","6,8",740,С,4
19.11.2023,"0,5","6,3",740,С,"6,8"
20.11.2023,"-3,3",0,741,В,"6,2"
21.11.2023,"-5,4",0,743,СВ,"8,3"
22.11.2023,"-8,5",0,748,В,"8,2"
23.11.2023,"-4,5",0,747,ЮВ,"9,3"
24.11.2023,"-4,8",0,748,ЮЗ,"6,4"
25.11.2023,"-1,6",0,747,ЮВ,"8,4"
26.11.2023,"2,1",0,742,Ю,"7,6"
27.11.2023,"2,3",0,747,ЮЗ,"9,6"
28.11.2023,"-1,8","3,1",748,Ю,"7,3"
29.11.2023,"-10,6",0,746,ЮВ,"7,8"
30.11.2023,"-9,8","0,2",745,ЮВ,"9,6"
01.12.2023,"-4,4","0,7",743,В,"8,1"
02.12.2023,"-1,7",0,742,В,"9,1"
03.12.2023,"-8,1","0,2",743,ЮВ,"8,5"
04.12.2023,"-11,3","0,3",746,Ю,"7,5"
05.12.2023,"-16,4",0,749,Ю,"6,4"
06.12.2023,"-9,4","0,8",748,ЮЗ,"7,3"
07.12.2023,"-3,9",0,745,З,"8,2"
08.12.2023,"-5,2",0,746,Ю,9
09.12.2023,"-6,9",0,743,ЮВ,"9,4"
10.12.2023,"-5,5","0,2",742,Ю,"8,3"
11.12.2023,"-4,4","0,3",745,ЮЗ,"8,5"
12.12.2023,"-4,2",0,742,З,"7,7"
13.12.2023,"-4,4",0,740,ЮЗ,"7,1"
14.12.2023,"-4,7","0,7",745,З,"7,3"
15.12.2023,"-8,2","2,6",742,ЮЗ,"6,3"
16.12.2023,"-11,4","0,4",740,Ю,"8,4"
17.12.2023,"-3,4","3,9",743,ЮВ,"9,8"
18.12.2023,-4,"0,4",745,ЮВ,"7,5"
19.12.2023,"-11,1","0,3",754,Ю,"8,4"
20.12.2023,"-15,8","3,4",762,З,"8,2"
21.12.2023,"-7,6","1,3",759,ЮЗ,"9,5"
22.12.2023,"-10,6","0,6",747,З,"8,7"
23.12.2023,"-14,9",0,745,ЮЗ,"9,8"
24.12.2023,"-9,2","13,7",744,ЮЗ,"8,6"
25.12.2023,"-13,9","0,4",748,ЮЗ,"9,5"
26.12.2023,"-13,4","5,6",746,СЗ,"8,1"
27.12.2023,"-13,8","0,8",744,З,"8,3"
28.12.2023,"-18,5",0,744,С,"9,3"
29.12.2023,"-15,8","0,2",741,С,"7,3"
30.12.2023,"-16,4",0,740,СВ,"6,4"
31.12.2023,"-16,2",0,742,ЮВ,"5,2"
